,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
Total,0.6359325838230855,-0.3634864796062588,0.6814849010425217,0.8111071056538129,0.8291510760398073,-0.413008544935594,0.23891725571659428,-0.19422854419446117,-0.07151784143754919,0.5883484054145518,0.740897468840317,0.8273403039920306,-0.3942075097541927,-0.0663201803456592,0.3449715887869057,0.7802813261781257,1.154700538379251,-0.3038794695676926,0.08874962836170944,0.7844645405527384,-0.3399927576278623,-0.6841467374414545
Aérea,-0.7019588215910458,1.0187012336127785,-0.3621291735292677,0.8111071056538129,-0.8856654836627237,-1.3067873179479554,0.7457114345093716,0.14567140814584603,-0.4039873736325516,0.5883484054145518,-0.9556685577091493,0.8273403039920306,-0.09218520516408787,-0.2984408115554658,0.3449715887869057,-1.029630034373511,-0.8660254037844392,1.4862671971169978,0.5857475471872817,0.7844645405527384,-0.15691973428978284,0.5801886573326501
Terrestre,-1.0147129040221057,-0.9713670971053479,0.8851379384808358,-1.8385094394819754,1.4138840678990752,0.3040394039568645,0.18823783783731632,-0.19422854419446117,-0.841171719117318,-2.1572774865200244,0.9365560042126789,-1.7063893769835634,-0.3942075097541927,0.19896054103697683,0.2956899332459192,0.904651158007151,1.154700538379251,-1.309769287287794,0.08874962836170944,-0.5883484054145474,-0.5230657809659418,-0.9335479599374978
Marítima,-0.75737531662055,-0.5807875943961247,-2.1479549392186765,-0.7029594915666376,-1.4735185433851539,0.4067810413418867,-2.345733056126568,-1.9787032939810738,-0.5786683144753979,0.5883484054145518,-1.4746006315693323,-0.9824666109905364,2.354195462015762,-1.3595636970860108,0.6899431775738112,-1.2533084682232376,-0.8660254037844392,-0.3508155361019528,0.5857475471872817,0.7844645405527384,2.4061025924433306,1.9576994903529972
La Aurora,-0.7089724587653806,1.0093852520882791,-0.3558549455388163,0.8111071056538129,-0.9104583457103506,-1.3176103035045164,0.6950320166300936,0.14567140814584603,-0.4039873736325516,0.5883484054145518,-0.8967303030906549,0.8273403039920306,-0.09218520516408787,-0.2652807213826364,0.3449715887869057,-1.0142519282611069,-0.8660254037844392,1.4862671971169978,0.5857475471872817,0.7844645405527384,-0.15691973428978284,0.5686790080168194
Valle Nuevo,0.6599002052660206,1.271195239809525,0.7847823852221542,-0.7029594915666376,0.4826076164126459,0.7043687916523529,0.5936731808715376,0.40059637240107643,-0.07151784143754919,-0.7844645405527363,1.225745643025185,-0.6205052279940231,-0.3942075097541927,-0.39792108207395444,0.41068046284155435,0.25230030269701903,1.154700538379251,-0.23663355972384859,0.46149806748088906,-0.5883484054145474,-0.5230657809659418,-0.572013981782328
San Cristóbal,1.887186711909976,-1.3836405544028516,0.5145338335412512,0.8111071056538129,0.5439996124066991,1.6222169294369595,-0.11583866943834913,1.6752211936772283,2.3708504637329177,0.5883484054145518,0.4238003762909503,0.8273403039920306,-0.9872025224250083,2.188565951406749,-2.4312283400220016,1.3599576439755652,-0.8660254037844392,-0.7714365415526852,-2.396239965766152,-1.9611613513818396,-0.7061388043040213,-0.9168584765411912
