,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
Total,0.1889900831683624,-0.5817393287583101,8.578892078875962,10.0,0.45352972764529625,-0.12751046590893228,0.9138755980861244,30.0,0.013774104683195593,11.0,0.2901147530441277,9.0,0.05555555555555555,0.21904761904761916,0.32380952380952394,0.8330962626684202,6.0,1.8467971923124176,0.7619047619047619,0.8571428571428571,0.14726215563702155,0.6288539124714351
Aérea,-0.40865685012365716,-0.12311282850839722,6.436692282820491,10.0,0.2073460264130389,-0.1761808319911083,0.9617224880382775,34.0,0.010204081632653059,11.0,0.19841068316438903,9.0,0.07142857142857142,0.18571428571428583,0.32380952380952394,0.7595054591182935,5.0,1.9866572963341218,0.8571428571428571,0.8571428571428571,0.1718058482431918,0.7447993706000322
Terrestre,-0.548366633356493,-0.7834414257362066,8.996925436125805,3.0,0.5374755767532016,-0.0884639062625815,0.9090909090909091,30.0,0.005509641873278237,3.0,0.30069063616306935,2.0,0.05555555555555555,0.25714285714285723,0.30952380952380965,0.8381531268117021,6.0,1.768209299399012,0.7619047619047619,0.8333333333333334,0.1227184630308513,0.6059826560630021
Marítima,-0.43341184755779033,-0.6538424510935378,2.7709736189358987,6.0,0.12295225192774957,-0.08286915143689036,0.6698564593301436,9.0,0.008328375966686497,11.0,0.17036097427041902,4.0,0.2,0.03333333333333342,0.4238095238095239,0.7504107177720553,5.0,1.8431301837538347,0.8571428571428571,0.8571428571428571,0.5154175447295755,0.8711235447644244
La Aurora,-0.41178989868910976,-0.12620398317726889,6.4495712294052865,10.0,0.20378669611121097,-0.1767701933465638,0.9569377990430622,34.0,0.010204081632653059,11.0,0.20159645827454897,9.0,0.07142857142857142,0.19047619047619058,0.32380952380952394,0.7601307312783323,5.0,1.9866572963341218,0.8571428571428571,0.8571428571428571,0.1718058482431918,0.7437438820260831
Valle Nuevo,0.1996966139044951,-0.03933228170668901,8.790928170506335,6.0,0.4037790117181972,-0.06666412935926125,0.9473684210526315,37.0,0.013774104683195593,7.0,0.31632213321720726,5.0,0.05555555555555555,0.17142857142857154,0.34285714285714297,0.8116286103711549,6.0,1.8520509629228514,0.8333333333333334,0.8333333333333334,0.1227184630308513,0.6391370096463286
San Cristóbal,0.7479354425554595,-0.9202387153213748,8.236195912288508,10.0,0.41259261263331415,-0.016683075632443214,0.8803827751196173,52.0,0.04000000000000001,11.0,0.27297478119584595,9.0,0.024390243902439025,0.542857142857143,-0.4809523809523809,0.856665840138054,5.0,1.8102680173901136,0.2857142857142857,0.8095238095238095,0.09817477042468103,0.6075131596036865
